slug	current_path	target_path	reason
fu-pan	books/个人成长/陈中-复盘.md	books/思维科学/决策判断/陈中-复盘.md	primary reader goal is principles and review for decisions
10-bei-bi-liang-bei-geng-rong-yi	books/个人成长/丹·沙利文-10倍比两倍更容易.md	books/自我管理/时间精力/丹·沙利文-10倍比两倍更容易.md	primary reader goal is leverage and personal system design
qu-dong-li	books/个人成长/丹尼尔·平克-驱动力.md	books/自我管理/习惯行动/丹尼尔·平克-驱动力.md	primary reader goal is motivation and action
di-er-da-nao	books/个人成长/蒂亚戈·福特-第二大脑.md	books/自我管理/学习练习/蒂亚戈·福特-第二大脑.md	primary reader goal is learning and reading
lang-du-shou-ce	books/个人成长/吉姆·崔利斯-朗读手册.md	books/自我管理/学习练习/吉姆·崔利斯-朗读手册.md	primary reader goal is learning and reading
yan-jiang-de-li-liang	books/个人成长/克里斯·安德森-演讲的力量.md	books/自我管理/表达输出/克里斯·安德森-演讲的力量.md	primary reader goal is expression and communication
ni-de-jiang-luo-san-shi-shen-me-yan-se	books/个人成长/理查德·尼尔森·鲍利斯-你的降落伞是什么颜色.md	books/自我管理/职业发展/理查德·尼尔森·鲍利斯-你的降落伞是什么颜色.md	primary reader goal is career development
5-dian-zhong-ju-le-bu	books/个人成长/罗宾·夏玛-5点钟俱乐部.md	books/自我管理/习惯行动/罗宾·夏玛-5点钟俱乐部.md	primary reader goal is motivation and action
zui-xiao-zu-li-zhi-lu	books/个人成长/罗伯特·弗里茨-最小阻力之路.md	books/自我管理/时间精力/罗伯特·弗里茨-最小阻力之路.md	primary reader goal is leverage and personal system design
zhong-shen-you-er-yuan	books/个人成长/米切尔·雷斯尼克-终身幼儿园.md	books/自我管理/学习练习/米切尔·雷斯尼克-终身幼儿园.md	primary reader goal is learning and reading
ru-he-yue-du-yi-ben-shu	books/个人成长/莫提默·J·艾德勒,查尔斯·范多伦-如何阅读一本书.md	books/自我管理/学习练习/莫提默·J·艾德勒,查尔斯·范多伦-如何阅读一本书.md	primary reader goal is learning and reading
xue-hui-ti-wen	books/个人成长/尼尔·布朗,斯图尔特·基利-学会提问.md	books/思维科学/证据科学/尼尔·布朗,斯图尔特·基利-学会提问.md	primary reader goal is evidence questioning
yuan-ze	books/个人成长/瑞·达利欧-原则.md	books/思维科学/决策判断/瑞·达利欧-原则.md	primary reader goal is principles and review for decisions
xi-que	books/个人成长/塞德希尔·穆来纳森,埃尔德·沙菲尔-稀缺.md	books/思维科学/行为经济/塞德希尔·穆来纳森,埃尔德·沙菲尔-稀缺.md	primary reader goal is behavioral economics and scarcity
gao-qing-shang-liao-tian-shu	books/个人成长/张超-高情商聊天术.md	books/自我管理/表达输出/张超-高情商聊天术.md	primary reader goal is expression and communication
ren-zhi-jue-xing	books/个人成长/周岭-认知觉醒.md	books/自我管理/习惯行动/周岭-认知觉醒.md	primary reader goal is motivation and action
shi-wa-xin-ge-jian-shen-quan-shu	books/健康运动/阿诺德·施瓦辛格-施瓦辛格健身全书.md	books/健康身体/运动训练/阿诺德·施瓦辛格-施瓦辛格健身全书.md	primary reader goal is exercise and training
chao-yue-bai-sui	books/健康运动/彼得·阿提亚-超越百岁.md	books/健康身体/衰老照护/彼得·阿提亚-超越百岁.md	primary reader goal is aging, disease, and care
shen-du-ying-yang	books/健康运动/凯瑟琳·沙纳汉-深度营养.md	books/健康身体/营养代谢/凯瑟琳·沙纳汉-深度营养.md	primary reader goal is nutrition and metabolism
wu-qi-xie-jian-shen	books/健康运动/马克·劳伦-无器械健身.md	books/健康身体/运动训练/马克·劳伦-无器械健身.md	primary reader goal is exercise and training
wo-men-wei-shen-me-yao-shui-jiao	books/健康运动/马修·沃克-我们为什么要睡觉.md	books/健康身体/睡眠恢复/马修·沃克-我们为什么要睡觉.md	primary reader goal is sleep and recovery
wei-xi-guan-shou-shen-pian	books/健康运动/斯蒂芬·盖斯-微习惯·瘦身篇.md	books/健康身体/医学生理/斯蒂芬·盖斯-微习惯·瘦身篇.md	primary reader goal is medicine and physiology
yun-dong-gai-zao-da-nao	books/健康运动/约翰·瑞迪-运动改造大脑.md	books/健康身体/运动训练/约翰·瑞迪-运动改造大脑.md	primary reader goal is exercise and training
sheng-li-xue	books/健康运动/朱大年,王庭槐-生理学.md	books/健康身体/医学生理/朱大年,王庭槐-生理学.md	primary reader goal is medicine and physiology
gao-ji-yun-dong-sheng-li-xue	books/健康运动/ACSM-高级运动生理学.md	books/健康身体/运动训练/ACSM-高级运动生理学.md	primary reader goal is exercise and training
jian-shen-yu-jian-kang-wan-quan-zhi-nan	books/健康运动/ACSM-健身与健康完全指南.md	books/健康身体/运动训练/ACSM-健身与健康完全指南.md	primary reader goal is exercise and training
nai-li	books/健康运动/Alex Hutchinson-耐力.md	books/健康身体/运动训练/Alex Hutchinson-耐力.md	primary reader goal is exercise and training
zui-hao-de-gao-bie	books/健康运动/Atul Gawande-最好的告别.md	books/健康身体/衰老照护/Atul Gawande-最好的告别.md	primary reader goal is aging, disease, and care
ying-yang-xue	books/健康运动/Frances Sizer,Eleanor Whitney-营养学.md	books/健康身体/营养代谢/Frances Sizer,Eleanor Whitney-营养学.md	primary reader goal is nutrition and metabolism
fei-pang-dai-ma	books/健康运动/Jason Fung-肥胖代码.md	books/健康身体/营养代谢/Jason Fung-肥胖代码.md	primary reader goal is nutrition and metabolism
shen-ti-shi-yong-shou-ce	books/健康运动/Kelly Starrett-身体使用手册.md	books/健康身体/运动训练/Kelly Starrett-身体使用手册.md	primary reader goal is exercise and training
dang-hu-xi-hua-wei-kong-qi	books/健康运动/Paul Kalanithi-当呼吸化为空气.md	books/健康身体/衰老照护/Paul Kalanithi-当呼吸化为空气.md	primary reader goal is aging, disease, and care
wo-men-wei-shen-me-hui-sheng-bing	books/健康运动/Randolph M. Nesse,George C. Williams-我们为什么会生病.md	books/健康身体/衰老照护/Randolph M. Nesse,George C. Williams-我们为什么会生病.md	primary reader goal is aging, disease, and care
da-guo-de-xing-shuai	books/历史传记/保罗·肯尼迪-大国的兴衰.md	books/历史世界/世界历史/保罗·肯尼迪-大国的兴衰.md	primary reader goal is world history
si-chou-zhi-lu	books/历史传记/彼得·弗兰科潘-丝绸之路.md	books/历史世界/世界历史/彼得·弗兰科潘-丝绸之路.md	primary reader goal is world history
bie-dou-le-fei-man-xian-sheng	books/历史传记/费曼-别逗了费曼先生.md	books/历史世界/传记回忆/费曼-别逗了费曼先生.md	primary reader goal is biography or memoir
zhu-ding-yi-zhan	books/历史传记/格雷厄姆·艾利森-注定一战.md	books/历史世界/国际秩序/格雷厄姆·艾利森-注定一战.md	primary reader goal is international order and geopolitical risk
wan-li-shi-wu-nian	books/历史传记/黄仁宇-万历十五年.md	books/历史世界/中国历史/黄仁宇-万历十五年.md	primary reader goal is China history
jiao-hun	books/历史传记/孔飞力-叫魂.md	books/历史世界/中国历史/孔飞力-叫魂.md	primary reader goal is China history
zhong-guo-tong-shi	books/历史传记/吕思勉-中国通史.md	books/历史世界/中国历史/吕思勉-中国通史.md	primary reader goal is China history
zhong-guo-li-dai-zheng-zhi-de-shi	books/历史传记/钱穆-中国历代政治得失.md	books/历史世界/中国历史/钱穆-中国历代政治得失.md	primary reader goal is China history
shu-niu	books/历史传记/施展-枢纽.md	books/历史世界/中国历史/施展-枢纽.md	primary reader goal is China history
quan-qiu-tong-shi	books/历史传记/斯塔夫里阿诺斯-全球通史.md	books/历史世界/世界历史/斯塔夫里阿诺斯-全球通史.md	primary reader goal is world history
jiu-zhi-du-yu-da-ge-ming	books/历史传记/托克维尔-旧制度与大革命.md	books/历史世界/传记回忆/托克维尔-旧制度与大革命.md	primary reader goal is biography or memoir
zhong-guo-jin-dai-shi	books/历史传记/徐中约-中国近代史.md	books/历史世界/中国历史/徐中约-中国近代史.md	primary reader goal is China history
ceng-guo-fan-chuan	books/历史传记/张宏杰-曾国藩传.md	books/历史世界/中国历史/张宏杰-曾国藩传.md	primary reader goal is China history
qing-dan-ge-ming	books/商业管理/阿图·葛文德-清单革命.md	books/职业组织/运营流程/阿图·葛文德-清单革命.md	primary reader goal is operations and process
chong-xin-ding-yi-gong-si	books/商业管理/埃里克·施密特,乔纳森·罗森伯格-重新定义公司.md	books/职业组织/管理通论/埃里克·施密特,乔纳森·罗森伯格-重新定义公司.md	general management shelf
wu-wei-de-zu-zhi	books/商业管理/艾米·埃德蒙森-无畏的组织.md	books/职业组织/组织领导/艾米·埃德蒙森-无畏的组织.md	primary reader goal is leadership and teams
mba-yi-ri-tong	books/商业管理/本·蒂格拉尔-MBA一日通.md	books/职业组织/管理通论/本·蒂格拉尔-MBA一日通.md	general management shelf
ling-shou-de-ben-zhi	books/商业管理/本多利范-零售的本质.md	books/商业产品/商业模式/本多利范-零售的本质.md	primary reader goal is business model or market operation
guan-li-de-shi-jian	books/商业管理/彼得·德鲁克-管理的实践.md	books/职业组织/管理通论/彼得·德鲁克-管理的实践.md	general management shelf
zhuo-you-cheng-xiao-de-guan-li-zhe	books/商业管理/彼得·德鲁克-卓有成效的管理者.md	books/职业组织/管理通论/彼得·德鲁克-卓有成效的管理者.md	general management shelf
di-wu-xiang-xiu-lian	books/商业管理/彼得·圣吉-第五项修炼.md	books/职业组织/管理通论/彼得·圣吉-第五项修炼.md	general management shelf
cai-wu-zhi-hui	books/商业管理/财务与估值/卡伦·伯曼,乔·奈特-财务智慧.md	books/商业产品/经营财务/卡伦·伯曼,乔·奈特-财务智慧.md	existing finance and valuation shelf
ling-dao-ti-dui	books/商业管理/查兰-领导梯队.md	books/职业组织/组织领导/查兰-领导梯队.md	primary reader goal is leadership and teams
dui-du	books/商业管理/陈楫宝-对赌.md	books/思维科学/决策判断/陈楫宝-对赌.md	primary reader goal is decision and betting logic
dou-hun	books/商业管理/稻盛和夫-斗魂.md	books/职业组织/管理通论/稻盛和夫-斗魂.md	general management shelf
ke-fu-zhi-de-ling-dao-li	books/商业管理/樊登-可复制的领导力.md	books/职业组织/组织领导/樊登-可复制的领导力.md	primary reader goal is leadership and teams
ke-xue-guan-li-yuan-li	books/商业管理/弗雷德里克·泰勒-科学管理原理.md	books/职业组织/运营流程/弗雷德里克·泰勒-科学管理原理.md	primary reader goal is operations and process
zhi-you-pian-zhi-kuang-cai-neng-sheng-cun	books/商业管理/公司战略/安迪·格鲁夫-只有偏执狂才能生存.md	books/商业产品/商业战略/安迪·格鲁夫-只有偏执狂才能生存.md	existing company-strategy shelf
cong-ling-dao-yi	books/商业管理/公司战略/彼得·蒂尔,布莱克·马斯特斯-从零到一.md	books/商业产品/商业战略/彼得·蒂尔,布莱克·马斯特斯-从零到一.md	existing company-strategy shelf
cong-you-xiu-dao-zhuo-yue	books/商业管理/公司战略/吉姆·柯林斯-从优秀到卓越.md	books/商业产品/商业战略/吉姆·柯林斯-从优秀到卓越.md	existing company-strategy shelf
ji-ye-chang-qing	books/商业管理/公司战略/吉姆·柯林斯,杰里·波勒斯-基业长青.md	books/商业产品/商业战略/吉姆·柯林斯,杰里·波勒斯-基业长青.md	existing company-strategy shelf
chuang-xin-zhe-de-jie-da	books/商业管理/公司战略/克莱顿·克里斯坦森-创新者的解答.md	books/商业产品/商业战略/克莱顿·克里斯坦森-创新者的解答.md	existing company-strategy shelf
chuang-xin-zhe-de-jiong-jing	books/商业管理/公司战略/克莱顿·克里斯坦森-创新者的窘境.md	books/商业产品/商业战略/克莱顿·克里斯坦森-创新者的窘境.md	existing company-strategy shelf
jing-zheng-zhan-l-e	books/商业管理/公司战略/迈克尔·波特-竞争战略.md	books/商业产品/商业战略/迈克尔·波特-竞争战略.md	existing company-strategy shelf
zhui-qiu-zhuo-yue	books/商业管理/公司战略/汤姆·彼得斯,罗伯特·沃特曼-追求卓越.md	books/商业产品/商业战略/汤姆·彼得斯,罗伯特·沃特曼-追求卓越.md	existing company-strategy shelf
hao-zhan-l-e-huai-zhan-l-e	books/商业管理/公司战略/Richard Rumelt-好战略，坏战略.md	books/商业产品/商业战略/Richard Rumelt-好战略，坏战略.md	existing company-strategy shelf
ding-jia-zhi-sheng	books/商业管理/赫尔曼·西蒙-定价制胜.md	books/商业产品/商业模式/赫尔曼·西蒙-定价制胜.md	primary reader goal is business model or market operation
hua-shan-jiang-tou-sun-zi-bing-fa	books/商业管理/华杉-华杉讲透《孙子兵法》.md	books/商业产品/商业战略/华杉-华杉讲透《孙子兵法》.md	primary reader goal is strategy
ping-tai-ge-ming	books/商业管理/杰奥夫雷G. 帕克,马歇尔W. 范·埃尔斯泰恩,桑基特·保罗·邱达利-平台革命.md	books/商业产品/商业模式/杰奥夫雷G. 帕克,马歇尔W. 范·埃尔斯泰恩,桑基特·保罗·邱达利-平台革命.md	primary reader goal is business model or market operation
feng-tian-zhi-dao	books/商业管理/杰弗里·莱克-丰田之道.md	books/职业组织/运营流程/杰弗里·莱克-丰田之道.md	primary reader goal is operations and process
chong-xin-ding-yi-tuan-dui	books/商业管理/拉兹洛·博克-重新定义团队.md	books/职业组织/组织领导/拉兹洛·博克-重新定义团队.md	primary reader goal is leadership and teams
tuan-dui-xie-zuo-de-wu-da-zhang-ai	books/商业管理/帕特里克·兰西奥尼-团队协作的五大障碍.md	books/职业组织/组织领导/帕特里克·兰西奥尼-团队协作的五大障碍.md	primary reader goal is leadership and teams
jing-li-ren-yuan-de-zhi-neng	books/商业管理/切斯特·I.巴纳德-经理人员的职能.md	books/职业组织/组织领导/切斯特·I.巴纳德-经理人员的职能.md	primary reader goal is leadership and teams
she-qun-ying-xiao-yu-yun-ying	books/商业管理/秦阳,秋叶-社群营销与运营.md	books/商业产品/商业模式/秦阳,秋叶-社群营销与运营.md	primary reader goal is business model or market operation
ding-wei	books/商业管理/市场营销/阿尔·里斯,杰克·特劳特-定位.md	books/商业产品/市场增长/阿尔·里斯,杰克·特劳特-定位.md	existing marketing shelf
shang-zhan	books/商业管理/市场营销/艾·里斯,杰克·特劳特-商战.md	books/商业产品/市场增长/艾·里斯,杰克·特劳特-商战.md	existing marketing shelf
ying-xiao-guan-li	books/商业管理/市场营销/菲利普·科特勒,凯文·莱恩·凯勒,亚历山大·切尔内夫-营销管理.md	books/商业产品/市场增长/菲利普·科特勒,凯文·莱恩·凯勒,亚历山大·切尔内夫-营销管理.md	existing marketing shelf
chao-ji-fu-hao-jiu-shi-chao-ji-chuang-yi	books/商业管理/市场营销/华杉 华楠-超级符号就是超级创意.md	books/商业产品/市场增长/华杉 华楠-超级符号就是超级创意.md	existing marketing shelf
kua-yue-hong-gou	books/商业管理/市场营销/杰弗里·摩尔-跨越鸿沟.md	books/商业产品/市场增长/杰弗里·摩尔-跨越鸿沟.md	existing marketing shelf
pin-lei-zhan-l-e	books/商业管理/市场营销/张云,王刚-品类战略.md	books/商业产品/市场增长/张云,王刚-品类战略.md	existing marketing shelf
yin-bao-dian	books/商业管理/市场营销/Malcolm Gladwell-引爆点.md	books/商业产品/市场增长/Malcolm Gladwell-引爆点.md	existing marketing shelf
fu-neng	books/商业管理/斯坦利·麦克里斯特尔-赋能.md	books/职业组织/组织领导/斯坦利·麦克里斯特尔-赋能.md	primary reader goal is leadership and teams
gao-ji-xiao-jiao-lian	books/商业管理/约翰·惠特默-高绩效教练.md	books/职业组织/教练协作/约翰·惠特默-高绩效教练.md	primary reader goal is coaching
bian-ge-zhi-xin	books/商业管理/约翰·科特,丹·科恩-变革之心.md	books/职业组织/组织领导/约翰·科特,丹·科恩-变革之心.md	primary reader goal is leadership and teams
quan-li-yu-ying-xiang-li	books/商业管理/约翰·P·科特-权力与影响力.md	books/职业组织/权力变革/约翰·P·科特-权力与影响力.md	primary reader goal is power and change
jing-yi-si-wei	books/商业管理/詹姆斯·沃麦克-精益思维.md	books/职业组织/运营流程/詹姆斯·沃麦克-精益思维.md	primary reader goal is operations and process
wu-he-zhi-zhong	books/商业管理/组织行为学/古斯塔夫·勒庞-乌合之众.md	books/社会公共/社会理论/古斯塔夫·勒庞-乌合之众.md	group behavior classic is primary social theory
quan-li	books/商业管理/组织行为学/杰弗瑞·菲佛-权力.md	books/职业组织/权力变革/杰弗瑞·菲佛-权力.md	primary reader goal is organizational power
ying-xiang-li	books/商业管理/组织行为学/罗伯特·西奥迪尼-影响力.md	books/商业产品/市场增长/罗伯特·西奥迪尼-影响力.md	persuasion book is primary growth and marketing bridge
zu-zhi-xing-wei-xue	books/商业管理/组织行为学/斯蒂芬·罗宾斯-组织行为学.md	books/职业组织/组织领导/斯蒂芬·罗宾斯-组织行为学.md	primary reader goal is organizational behavior
zou-chu-wei-ji	books/商业管理/W·爱德华兹·戴明-走出危机.md	books/职业组织/运营流程/W·爱德华兹·戴明-走出危机.md	primary reader goal is operations and process
she-hui-fen-gong-lun	books/社会科学/埃米尔·涂尔干-社会分工论.md	books/社会公共/社会理论/埃米尔·涂尔干-社会分工论.md	social theory and public life shelf
chu-shi-chuan-bo-xue	books/社会科学/埃姆·格里芬-初识传播学.md	books/社会公共/媒介传播/埃姆·格里芬-初识传播学.md	primary reader goal is media and communication
xing-bie-da-jie	books/社会科学/艾伦·约翰逊-性别打结.md	books/社会公共/性别结构/艾伦·约翰逊-性别打结.md	primary reader goal is gender and social structure
cheng-shi-de-sheng-li	books/社会科学/爱德华·格莱泽-城市的胜利.md	books/社会公共/城市环境/爱德华·格莱泽-城市的胜利.md	primary reader goal is city, environment, and sustainability
wei-lai-hu-xiao-er-lai	books/社会科学/彼得·戴曼迪斯,史蒂芬·科特勒-未来呼啸而来.md	books/科技媒介/未来技术/彼得·戴曼迪斯,史蒂芬·科特勒-未来呼啸而来.md	primary reader goal is future technology
fu-za-jing-ji-xue	books/社会科学/布莱恩·阿瑟-复杂经济学.md	books/金钱投资/经济学/布莱恩·阿瑟-复杂经济学.md	primary reader goal is economics
ji-shu-de-ben-zhi	books/社会科学/布莱恩·阿瑟-技术的本质.md	books/社会公共/技术社会/布莱恩·阿瑟-技术的本质.md	primary reader goal is technology in social systems
kan-de-jian-de-zheng-yi	books/社会科学/陈瑞华-看得见的正义.md	books/社会公共/法律公共/陈瑞华-看得见的正义.md	primary reader goal is law and public justice
zheng-zhi-jing-ji-xue-ji-fu-shui-yuan-li	books/社会科学/大卫·李嘉图-政治经济学及赋税原理.md	books/社会公共/政治制度/大卫·李嘉图-政治经济学及赋税原理.md	primary reader goal is political institutions
zeng-zhang-de-ji-xian	books/社会科学/丹尼斯·米都斯等-增长的极限.md	books/社会公共/城市环境/丹尼斯·米都斯等-增长的极限.md	primary reader goal is city, environment, and sustainability
guo-jia-wei-shen-me-hui-shi-bai	books/社会科学/德隆·阿西莫格鲁,詹姆斯·罗宾逊-国家为什么会失败.md	books/社会公共/政治制度/德隆·阿西莫格鲁,詹姆斯·罗宾逊-国家为什么会失败.md	primary reader goal is political institutions
xiang-tu-zhong-guo	books/社会科学/费孝通-乡土中国.md	books/社会公共/社会理论/费孝通-乡土中国.md	social theory and public life shelf
feng-xian-bu-que-ding-xing-yu-li-run	books/社会科学/弗兰克·H·奈特-风险、不确定性与利润.md	books/金钱投资/经济学/弗兰克·H·奈特-风险、不确定性与利润.md	primary reader goal is economics
tong-wang-nu-yi-zhi-lu	books/社会科学/弗里德里希·哈耶克-通往奴役之路.md	books/社会公共/政治制度/弗里德里希·哈耶克-通往奴役之路.md	primary reader goal is political institutions
shi-jie-zhi-xu	books/社会科学/亨利·基辛格-世界秩序.md	books/历史世界/国际秩序/亨利·基辛格-世界秩序.md	primary reader goal is international order
qiang-pao-bing-jun-yu-gang-tie	books/社会科学/贾雷德·戴蒙德-枪炮、病菌与钢铁.md	books/历史世界/世界历史/贾雷德·戴蒙德-枪炮、病菌与钢铁.md	primary reader goal is civilizational history
igen	books/社会科学/简·腾格-iGen.md	books/社会公共/社会理论/简·腾格-iGen.md	social theory and public life shelf
mei-guo-da-cheng-shi-de-si-yu-sheng	books/社会科学/简·雅各布斯-美国大城市的死与生.md	books/社会公共/城市环境/简·雅各布斯-美国大城市的死与生.md	primary reader goal is city, environment, and sustainability
pin-qiong-de-ben-zhi	books/社会科学/经济学/阿比吉特·班纳吉,埃斯特·迪弗洛-贫穷的本质.md	books/金钱投资/经济学/阿比吉特·班纳吉,埃斯特·迪弗洛-贫穷的本质.md	existing economics shelf moves under money and economics
xiao-dao-jing-ji-xue	books/社会科学/经济学/彼得·希夫,安德鲁·希夫-小岛经济学.md	books/金钱投资/经济学/彼得·希夫,安德鲁·希夫-小岛经济学.md	existing economics shelf moves under money and economics
zhai	books/社会科学/经济学/大卫·格雷伯-债.md	books/金钱投资/经济学/大卫·格雷伯-债.md	existing economics shelf moves under money and economics
zhi-shen-shi-nei	books/社会科学/经济学/兰小欢-置身事内.md	books/金钱投资/经济学/兰小欢-置身事内.md	existing economics shelf moves under money and economics
21-shi-ji-zi-ben-lun	books/社会科学/经济学/托马斯·皮凯蒂-21世纪资本论.md	books/金钱投资/经济学/托马斯·皮凯蒂-21世纪资本论.md	existing economics shelf moves under money and economics
xiang-jing-ji-xue-jia-yi-yang-si-kao	books/社会科学/经济学/宇泽弘文-像经济学家一样思考.md	books/金钱投资/经济学/宇泽弘文-像经济学家一样思考.md	existing economics shelf moves under money and economics
jing-ji-xue-yuan-li	books/社会科学/经济学/N.格里高利·曼昆-经济学原理.md	books/金钱投资/经济学/N.格里高利·曼昆-经济学原理.md	existing economics shelf moves under money and economics
kan-bu-jian-de-nv-xing	books/社会科学/卡罗琳·克利亚多·佩雷斯-看不见的女性.md	books/社会公共/性别结构/卡罗琳·克利亚多·佩雷斯-看不见的女性.md	primary reader goal is gender and social structure
bi-ran	books/社会科学/凯文·凯利-必然.md	books/科技媒介/未来技术/凯文·凯利-必然.md	primary reader goal is future technology
shi-kong	books/社会科学/凯文·凯利-失控.md	books/科技媒介/未来技术/凯文·凯利-失控.md	primary reader goal is future technology
suan-fa-ba-quan	books/社会科学/凯西·奥尼尔-算法霸权.md	books/科技媒介/平台算法/凯西·奥尼尔-算法霸权.md	primary reader goal is platforms and algorithms
ai-2041	books/社会科学/李开复,陈楸帆-AI 2041.md	books/科技媒介/AI变革/李开复,陈楸帆-AI 2041.md	primary reader goal is AI transformation
xing-fa-xue-jiang-yi	books/社会科学/罗翔-刑法学讲义.md	books/社会公共/法律公共/罗翔-刑法学讲义.md	primary reader goal is law and public justice
li-jie-mei-jie	books/社会科学/马歇尔·麦克卢汉-理解媒介.md	books/社会公共/媒介传播/马歇尔·麦克卢汉-理解媒介.md	primary reader goal is media and communication
sheng-ming-3-0	books/社会科学/迈克斯·泰格马克-生命3.0.md	books/科技媒介/AI变革/迈克斯·泰格马克-生命3.0.md	primary reader goal is AI transformation
quan-li-yu-fan-rong	books/社会科学/曼瑟·奥尔森-权力与繁荣.md	books/社会公共/政治制度/曼瑟·奥尔森-权力与繁荣.md	primary reader goal is political institutions
hei-tian-e	books/社会科学/纳西姆·尼古拉斯·塔勒布-黑天鹅.md	books/思维科学/概率风险/纳西姆·尼古拉斯·塔勒布-黑天鹅.md	primary reader goal is uncertainty and extreme risk
